mock_slope	cov1_slope	cov2_slope	oddSample	Ratio	sig_mock	sig_cov1	sig_cov2
ENSG00000123636.18	0.0134876735879841	0.068624415979389	0.0695317805219253	mock_slope	60.937729013096	Not	Significant	Significant
ENSG00000163121.10	0.00964747006282665	0.138687459254754	0.140876586823394	mock_slope	59.6883539767705	Not	Significant	Significant
ENSG00000163739.4	0.000608253717464	0.0617378876210282	0.0606979038406917	mock_slope	57.9241660319638	Not	Significant	Significant
ENSG00000223960.6	-0.0404767078773218	0.0631712335491049	0.0613886760782082	mock_slope	57.3115410595378	Not	Not	Significant
ENSG00000112079.9	0.0288103754744695	-0.0042134136795501	-0.00479144292966374	mock_slope	57.1190249625127	Significant	Not	Not
ENSG00000149257.14	-0.0116228532641887	0.0220255328737379	0.0226262280484526	mock_slope	56.0368626050528	Not	Significant	Significant
ENSG00000155090.15	-0.0232568278437873	0.0237142694828867	0.0228864617976591	mock_slope	55.7619285609921	Significant	Not	Significant
ENSG00000183486.13	-0.0462607046540523	0.173054796205251	0.177082231047424	mock_slope	55.6817003808649	Significant	Significant	Significant
ENSG00000114107.9	0.052580350293433	0.0340507339317296	0.0337104299173242	mock_slope	54.4090587150946	Significant	Not	Significant
ENSG00000116863.11	-0.0233975767984376	0.0298967265589416	0.0289227001152176	mock_slope	53.7492540636703	Not	Not	Significant
ENSG00000166847.10	-0.00309147494435502	-0.0142680284446617	-0.0144803128664656	mock_slope	52.6553209472332	Not	Not	Significant
ENSG00000213066.13	0.0335278681207511	0.0135010247746549	0.0131192454546125	mock_slope	52.4351477535997	Significant	Not	Not
ENSG00000251152.1	0.0398115473250988	0.104595851792408	0.105845653515919	mock_slope	52.1199987420238	Not	Not	Significant
ENSG00000171680.21	-0.0268702126789735	0.037757671062975	0.0390294580622767	mock_slope	50.8723005936688	Not	Not	Significant
ENSG00000250508.1	0.0439859042443353	0.33931823456559	0.345599373781154	mock_slope	50.3698140601222	Not	Significant	Significant
ENSG00000256995.7	-0.0074442311735634	0.23273294271225	0.22788939508264	mock_slope	50.3323712599386	Not	Not	Significant
ENSG00000101347.9	0.000236515749414237	0.118211685333914	0.115890780346891	mock_slope	50.2894997011523	Not	Significant	Significant
ENSG00000100297.16	-0.0149995632099128	-0.0309034097911421	-0.0312216215411649	mock_slope	49.9996502260991	Not	Significant	Significant
ENSG00000168268.11	-0.00167423322741923	-0.0528469871134565	-0.0538970896459549	mock_slope	48.8231131605971	Not	Significant	Significant
ENSG00000231991.4	-0.0197803204735561	-0.0523048283334952	-0.051629092444511	mock_slope	47.1951327247653	Significant	Significant	Significant
ENSG00000252481.1	-0.0187638222833985	0.0454051502985777	0.044063446122662	mock_slope	46.8972658540124	Not	Significant	Significant
ENSG00000173156.7	-0.0604876415542375	-0.0720546160302419	-0.0718116239770463	mock_slope	46.6388418292609	Significant	Not	Not
ENSG00000107742.13	-0.00449148694757966	-0.0564113796247639	-0.0575673958470128	mock_slope	45.0068384588689	Not	Significant	Significant
ENSG00000072274.13	0.00062879715085882	-0.0594850181288246	-0.0608360445921712	mock_slope	44.6039573527343	Not	Significant	Significant
ENSG00000272886.6	0.000451037313992462	0.065336633554311	0.0638943104925764	mock_slope	44.1101390829794	Not	Significant	Significant
ENSG00000227507.2	0.0166439172784659	0.112850912944841	0.115079789185094	mock_slope	43.5091560777407	Not	Significant	Significant
ENSG00000112769.19	0.0222294367385954	0.00786994123940414	0.00819308588394004	mock_slope	43.4287841909649	Significant	Not	Not
ENSG00000204120.14	0.000101171773447751	0.0302732644519815	0.0309716534634368	mock_slope	43.2296829727578	Not	Significant	Not
ENSG00000154639.19	0.0118458196899679	-0.0239588663105404	-0.0247923336800603	mock_slope	42.978073991746	Not	Significant	Not
ENSG00000148303.17	-0.0103143843701712	-0.0224577155245481	-0.0221788264572315	mock_slope	42.5512574555852	Not	Significant	Significant
ENSG00000166311.10	-0.0406757681567773	-0.00663978478593884	-0.00742089148127066	mock_slope	42.5476399515843	Significant	Not	Not
ENSG00000169683.8	0.0142983955589919	-0.0308300528928096	-0.0297898536174997	mock_slope	42.4139556581256	Not	Significant	Not
ENSG00000130402.12	-0.0099788183639104	-0.0286460866617938	-0.0290915805458324	mock_slope	41.9204840193093	Not	Significant	Significant
ENSG00000171855.7	-0.14916172448715	0.44269295504917	0.42695983760597	mock_slope	41.6889250918652	Not	Significant	Significant
ENSG00000107968.10	-0.0078670029215606	0.168880478435618	0.173242621020446	mock_slope	41.3316988024656	Not	Significant	Significant
ENSG00000056558.11	0.00383380570662818	0.229565509807011	0.235231135475589	mock_slope	41.2668894149804	Not	Significant	Significant
ENSG00000169718.17	-0.0294825389841708	-0.0151584616824874	-0.0148111264876386	mock_slope	41.2279418844864	Significant	Not	Not
ENSG00000138166.6	-0.0283335941763682	0.04310051271849	0.0414058051641699	mock_slope	41.2063138329905	Significant	Significant	Not
ENSG00000139644.13	0.00573977458188745	-0.0241863955920816	-0.0249203574717412	mock_slope	40.7915362179521	Not	Not	Significant
ENSG00000115008.5	-0.0318360967176901	0.208505783440588	0.202530030521097	mock_slope	40.4028525900937	Not	Significant	Significant
ENSG00000142961.14	-0.00309027802594998	0.0653838232823446	0.0670873177432057	mock_slope	40.3178132317565	Not	Significant	Significant
ENSG00000258659.6	0.0162596185763607	0.0602547054871404	0.0613549643591194	mock_slope	40.0688954165909	Not	Not	Significant
ENSG00000181026.15	-0.0283257451811399	0.0173294668884133	0.0184777145244157	mock_slope	39.7654133455196	Significant	Not	Not
ENSG00000117115.13	-0.098703752824116	-0.115464511218868	-0.115887227380645	mock_slope	39.7242968039139	Significant	Not	Significant
ENSG00000163659.13	-0.0423920520961681	0.0640340977177168	0.0667463728491595	mock_slope	39.364784023974	Significant	Significant	Significant
